AREA,PERIMETER,COLUMBUS_,COLUMBUS_I,POLYID,NEIG,HOVAL,INC,CRIME,OPEN,PLUMB,DISCBD,X,Y,NSA,NSB,EW,CP,THOUS,NEIGNO
0.309441,2.440629,2,5,1,5,80.467003,19.531000,15.725980,2.850747,0.217155,5.030000,38.799999,44.070000,1.000000,1.000000,1.000000,0.000000,1000.000000,1005.000000
0.259329,2.236939,3,1,2,1,44.567001,21.232000,18.801754,5.296720,0.320581,4.270000,35.619999,42.380001,1.000000,1.000000,0.000000,0.000000,1000.000000,1001.000000
0.192468,2.187547,4,6,3,6,26.350000,15.956000,30.626781,4.534649,0.374404,3.890000,39.820000,41.180000,1.000000,1.000000,1.000000,0.000000,1000.000000,1006.000000
0.083841,1.427635,5,2,4,2,33.200001,4.477000,32.387760,0.394427,1.186944,3.700000,36.500000,40.520000,1.000000,1.000000,0.000000,0.000000,1000.000000,1002.000000
0.488888,2.997133,6,7,5,7,23.225000,11.252000,50.731510,0.405664,0.624596,2.830000,40.009998,38.000000,1.000000,1.000000,1.000000,0.000000,1000.000000,1007.000000
0.283079,2.335634,7,8,6,8,28.750000,16.028999,26.066658,0.563075,0.254130,3.780000,43.750000,39.279999,1.000000,1.000000,1.000000,0.000000,1000.000000,1008.000000
0.257084,2.554577,8,4,7,4,75.000000,8.438000,0.178269,0.000000,2.402402,2.740000,33.360001,38.410000,1.000000,1.000000,0.000000,0.000000,1000.000000,1004.000000
0.204954,2.139524,9,3,8,3,37.125000,11.337000,38.425858,3.483478,2.739726,2.890000,36.709999,38.709999,1.000000,1.000000,0.000000,0.000000,1000.000000,1003.000000
0.500755,3.169707,10,18,9,18,52.599998,17.586000,30.515917,0.527488,0.890736,3.170000,43.439999,35.919998,1.000000,1.000000,1.000000,0.000000,1000.000000,1018.000000
0.246689,2.087235,11,10,10,10,96.400002,13.598000,34.000835,1.548348,0.557724,4.330000,47.610001,36.419998,1.000000,1.000000,1.000000,0.000000,1000.000000,1010.000000
0.041012,0.919488,12,38,11,38,19.700001,7.467000,62.275448,0.000000,1.479915,1.900000,37.849998,36.299999,1.000000,1.000000,0.000000,1.000000,1000.000000,1038.000000
0.035769,0.902125,13,37,12,37,19.900000,10.048000,56.705669,3.157895,2.635046,1.910000,37.130001,36.119999,1.000000,1.000000,0.000000,1.000000,1000.000000,1037.000000
0.034377,0.936590,14,39,13,39,41.700001,9.549000,46.716129,0.000000,6.328423,2.090000,35.950001,36.400002,1.000000,1.000000,0.000000,1.000000,1000.000000,1039.000000
0.060884,1.128424,15,40,14,40,42.900002,9.963000,57.066132,0.477104,5.110962,1.830000,35.720001,35.599998,1.000000,1.000000,0.000000,1.000000,1000.000000,1040.000000
0.106653,1.437606,16,9,15,9,18.000000,9.873000,48.585487,0.174325,1.311475,1.700000,39.610001,34.910000,1.000000,1.000000,1.000000,1.000000,1000.000000,1009.000000
0.093154,1.340061,17,36,16,36,18.799999,7.625000,54.838711,0.533737,4.687500,1.100000,37.599998,34.080002,1.000000,1.000000,0.000000,1.000000,1000.000000,1036.000000
0.102087,1.382359,18,11,17,11,41.750000,9.798000,36.868774,0.448232,1.619745,4.470000,48.580002,34.459999,1.000000,1.000000,1.000000,0.000000,1000.000000,1011.000000
0.055494,1.183352,19,42,18,42,60.000000,13.185000,43.962486,24.998068,13.849287,1.580000,36.150002,33.919998,1.000000,1.000000,0.000000,1.000000,1000.000000,1042.000000
0.061342,1.249247,20,41,19,41,30.600000,11.618000,54.521965,0.111111,2.622951,1.530000,35.759998,34.660000,1.000000,1.000000,0.000000,1.000000,1000.000000,1041.000000
0.444629,3.174601,21,17,20,17,81.266998,31.070000,0.223797,5.318607,0.167224,3.570000,46.730000,31.910000,0.000000,1.000000,1.000000,0.000000,1000.000000,1017.000000
0.699258,5.077490,22,43,21,43,19.975000,10.655000,40.074074,1.643756,1.559576,1.410000,34.080002,30.420000,0.000000,0.000000,0.000000,1.000000,1000.000000,1043.000000
0.192891,1.992717,23,19,22,19,30.450001,11.709000,33.705048,4.539754,1.785714,2.450000,43.369999,33.459999,1.000000,1.000000,1.000000,1.000000,1000.000000,1019.000000
0.247120,2.147528,24,12,23,12,47.733002,21.155001,20.048504,0.532632,0.216763,4.780000,49.610001,32.650002,0.000000,0.000000,1.000000,0.000000,1000.000000,1012.000000
0.192226,2.240392,25,35,24,35,53.200001,14.236000,38.297871,0.626220,18.811075,0.420000,36.599998,32.090000,1.000000,1.000000,0.000000,1.000000,1000.000000,1035.000000
0.171680,1.666489,26,32,25,32,17.900000,8.461000,61.299175,0.000000,6.529851,0.830000,39.360001,32.880001,1.000000,1.000000,1.000000,1.000000,1000.000000,1032.000000
0.107298,1.406823,27,20,26,20,20.299999,8.085000,40.969742,1.238288,2.534275,1.500000,41.130001,33.139999,1.000000,1.000000,1.000000,1.000000,1000.000000,1020.000000
0.137802,1.780751,28,21,27,21,34.099998,10.822000,52.794430,19.368099,1.483516,2.240000,43.950001,31.610001,0.000000,0.000000,1.000000,1.000000,1000.000000,1021.000000
0.174773,1.637148,29,31,28,31,22.850000,7.856000,56.919785,0.509305,3.001072,1.410000,41.310001,30.900000,0.000000,0.000000,1.000000,1.000000,1000.000000,1031.000000
0.085972,1.312158,30,33,29,33,32.500000,8.681000,60.750446,0.000000,2.645051,0.810000,39.720001,30.639999,0.000000,0.000000,1.000000,1.000000,1000.000000,1033.000000
0.104355,1.524931,31,34,30,34,22.500000,13.906000,68.892044,1.638780,15.600624,0.370000,38.290001,30.350000,0.000000,0.000000,0.000000,1.000000,1000.000000,1034.000000
0.117409,1.716047,32,45,31,45,31.799999,16.940001,17.677214,3.936443,0.853890,3.780000,27.940001,29.850000,1.000000,1.000000,0.000000,0.000000,1000.000000,1045.000000
0.185580,2.108951,33,13,32,13,40.299999,18.941999,19.145592,2.221022,0.255102,4.760000,50.110001,29.910000,0.000000,0.000000,1.000000,0.000000,1000.000000,1013.000000
0.087472,1.507971,34,22,33,22,23.600000,9.918000,41.968163,0.000000,1.023891,2.280000,44.099998,30.400000,0.000000,0.000000,1.000000,1.000000,1000.000000,1022.000000
0.226594,2.519132,35,44,34,44,28.450001,14.948000,23.974028,3.029087,0.386803,3.060000,30.320000,28.260000,0.000000,0.000000,0.000000,0.000000,1000.000000,1044.000000
0.175453,1.974937,36,23,35,23,27.000000,12.814000,39.175053,4.220401,0.633675,2.370000,43.700001,29.180000,0.000000,0.000000,1.000000,1.000000,1000.000000,1023.000000
0.178130,1.790058,37,46,36,46,36.299999,18.739000,14.305556,6.773331,0.332349,4.230000,27.270000,28.209999,0.000000,0.000000,0.000000,0.000000,1000.000000,1046.000000
0.121154,1.402252,38,30,37,30,43.299999,17.017000,42.445076,4.839273,1.230329,1.080000,38.320000,28.820000,0.000000,0.000000,1.000000,1.000000,1000.000000,1030.000000
0.053881,0.934509,39,24,38,24,22.700001,11.107000,53.710938,0.000000,0.800000,1.580000,41.040001,28.780001,0.000000,0.000000,1.000000,1.000000,1000.000000,1024.000000
0.174823,2.335402,40,47,39,47,39.599998,18.476999,19.100863,0.000000,0.314663,5.530000,24.250000,26.690001,0.000000,0.000000,0.000000,0.000000,1000.000000,1047.000000
0.302908,2.285487,41,16,40,16,61.950001,29.833000,16.241299,6.451310,0.132743,4.400000,48.439999,27.930000,0.000000,0.000000,1.000000,0.000000,1000.000000,1016.000000
0.137024,1.525097,42,14,41,14,42.099998,22.207001,18.905146,0.293317,0.247036,5.330000,51.240002,27.799999,0.000000,0.000000,1.000000,0.000000,1000.000000,1014.000000
0.266541,2.176543,43,49,42,49,44.333000,25.872999,16.491890,1.792993,0.134439,3.870000,29.020000,26.580000,0.000000,0.000000,0.000000,0.000000,1000.000000,1049.000000
0.060241,0.967793,44,29,43,29,25.700001,13.380000,36.663612,0.000000,0.589226,1.950000,41.090000,27.490000,0.000000,0.000000,1.000000,1.000000,1000.000000,1029.000000
0.173337,1.868044,45,25,44,25,33.500000,16.961000,25.962263,1.463993,0.329761,2.670000,43.230000,27.309999,0.000000,0.000000,1.000000,0.000000,1000.000000,1025.000000
0.256431,2.193039,46,28,45,28,27.733000,14.135000,29.028488,1.006118,2.391200,2.130000,39.320000,25.850000,0.000000,0.000000,1.000000,1.000000,1000.000000,1028.000000
0.124728,1.841029,47,48,46,48,76.099998,18.323999,16.530533,9.683953,0.424628,5.270000,25.469999,25.709999,0.000000,0.000000,0.000000,0.000000,1000.000000,1048.000000
0.245249,2.079986,48,15,47,15,42.500000,18.950001,27.822861,0.000000,0.268817,5.570000,50.889999,25.240000,0.000000,0.000000,1.000000,0.000000,1000.000000,1015.000000
0.069762,1.102032,49,27,48,27,26.799999,11.813000,26.645266,4.884389,1.034807,2.330000,41.209999,25.900000,0.000000,0.000000,1.000000,1.000000,1000.000000,1027.000000
0.205964,2.199169,50,26,49,26,35.799999,18.796000,22.541491,0.259826,0.901442,3.030000,42.669998,24.959999,0.000000,0.000000,1.000000,0.000000,1000.000000,1026.000000
